,Name,metascore,userscore
205,AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,81.0,7.1
206,Aaero,78.5,5.966666666666666
207,Aarklash: Legacy,72.0,7.8
208,Aaru's Awakening,59.0,1.4
209,Absolute Drift,66.0,5.9
210,Absolute Drift: Zen Edition,78.0,6.3
211,Absolver,68.66666666666667,6.266666666666667
212,Abyss,60.5,6.5
213,Abyss Odyssey,67.66666666666667,6.7
214,Abyss Odyssey: Extended Dream Edition,65.0,5.8
215,Abyss: The Wraiths of Eden,72.0,6.400000000000001
216,Academy of Champions: Soccer,64.0,6.8
217,Accel World vs. Sword Art Online: Millennium Twilight,64.0,7.35
218,Acceleration of SUGURI X-Edition,61.0,5.5
219,Accounting+,74.0,7.25
220,Ace Attorney Investigations: Miles Edgeworth,78.0,8.2
221,Ace Banana,40.0,4.3
222,Ace Combat 04: Shattered Skies,89.0,8.7
223,Ace Combat 2,83.0,8.6
224,Ace Combat 5: The Unsung War,84.0,7.4
225,Ace Combat 6: Fires of Liberation,80.0,7.9
226,Ace Combat 7: Skies Unknown,79.0,7.633333333333333
227,Ace Combat Advance,56.0,7.5
228,Ace Combat Assault Horizon: Enhanced Edition,77.0,5.9
229,Ace Combat Infinity,54.0,5.7
230,Ace Combat X: Skies of Deception,75.0,8.3
231,Ace Combat Zero: The Belkan War,75.0,8.6
232,Ace Combat: Assault Horizon,77.5,6.4
233,Ace Combat: Assault Horizon Legacy,71.0,7.4
234,Ace Combat: Assault Horizon Legacy+,63.0,5.9
235,Ace Combat: Joint Assault,71.0,7.0
236,Ace of Spades: Battle Builder,49.0,5.2
237,Aces of the Galaxy,71.0,7.3
238,Aces of the Luftwaffe: Squadron,68.0,6.05
239,Achron,54.0,7.3
240,Achtung Panzer: Kharkov 1943,70.0,8.3
241,Achtung! Cthulhu Tactics,60.333333333333336,6.0
242,Act of Aggression,71.0,7.1
243,Act of War: Direct Action,82.0,8.1
244,Act of War: High Treason,74.0,7.5
245,ActRaiser Renaissance,74.0,7.35
246,Action Henk,73.0,6.7
247,Action News Heroes,49.0,7.1
248,Active Life: Outdoor Challenge,69.0,7.7
249,Active Soccer 2 DX,53.0,6.75
250,Activision Anthology,77.0,6.05
251,Activision Hits Remixed,75.0,5.5
252,Actual Sunlight,76.0,6.449999999999999
253,Adam's Venture Chronicles,49.0,4.050000000000001
254,Adam's Venture: Origins,50.5,5.133333333333334
255,Adam's Venture: The Search for the Lost Garden,52.0,5.9
256,Adidas miCoach,54.0,5.35
257,Adios,78.0,5.6
258,Advance Wars,92.0,8.8
259,Advance Wars 2: Black Hole Rising,89.0,8.8
260,Advance Wars: Days of Ruin,86.0,8.5
261,Advance Wars: Dual Strike,90.0,8.8
262,Advent Rising,69.0,8.05
263,Adventure Bar Story,69.0,6.1
264,Adventure Park,49.0,4.1
265,Adventure Pinball: Forgotten Island,60.0,7.3
266,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,40.0,4.74
267,Adventure Time: Finn and Jake Investigations,66.0,6.75
268,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,67.0,7.050000000000001
269,Adventure Time: Pirates of the Enchiridion,64.0,6.966666666666666
270,Adventure Time: The Secret of the Nameless Kingdom,61.5,6.366666666666667
271,Adventures of Chris,75.0,7.8
272,Adventures of Mana,66.0,8.2
273,Adventures of Pip,75.33333333333333,7.166666666666667
274,Adventures to Go!,58.0,7.8
275,Aedis Eclipse: Generation of Chaos,62.0,6.3
276,Aegis Defenders,77.0,5.800000000000001
277,Aegis Wing,58.0,7.0
278,Aegis of Earth: Protonovus Assault,57.0,7.35
279,Aeon Drive,77.0,8.5
280,Aeon Flux,67.5,4.05
281,AereA,49.666666666666664,3.9
282,Aero Elite: Combat Academy,64.0,7.5
283,Aero Porter,70.0,7.4
284,Aero Racer,65.0,6.2
285,Aero the Acro-bat,71.0,7.5
286,AeroWings 2: Air Strike,74.0,8.1
287,Aeterna Noctis,72.0,7.066666666666666
288,AeternoBlade,54.5,5.8
289,AeternoBlade II,47.0,4.85
