,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,userscore
81,Super Mario Land 2: 6 Golden Coins,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,
82,Diablo III,Role-Playing,Activision,4.87,4.54,0.21,1.44,11.08,87.0,5.733333333333333
83,Need for Speed Underground 2,Racing,Electronic Arts,5.21,4.41,0.09,1.25,10.97,74.0,8.125
84,Gran Turismo,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,8.6
85,Super Mario 3D Land,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,90.0,8.4
86,Gran Turismo 5,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,84.0,7.8
87,FIFA Soccer 10,Sports,Electronic Arts,1.94,6.23,0.07,2.49,10.74,82.2,6.871428571428572
88,Super Mario All-Stars,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,
89,The Last of Us,Action,Sony Computer Entertainment Europe,4.19,4.15,0.35000000000000003,1.83,10.54,95.0,9.2
90,Pokemon FireRed/Pokemon LeafGreen,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,
91,Need for Speed Underground,Racing,Electronic Arts,5.26,3.98,0.09,1.1400000000000001,10.46,82.0,8.3
92,Star Wars: The Force Unleashed,Action,LucasArts,5.32,2.9699999999999998,0.01,1.9100000000000001,10.23,69.0,7.083333333333333
93,Dr. Mario,Puzzle,Nintendo,4.800000000000001,1.56,3.52,0.30000000000000004,10.19,,
94,Guitar Hero: World Tour,Misc,Activision,6.21,2.23,0.0,1.65,10.08,,
95,Madden NFL 07,Sports,Electronic Arts,8.66,0.44,0.03,0.93,10.030000000000001,78.2,7.08
96,Fallout 3,Role-Playing,Bethesda Softworks,5.56,3.11,0.16,1.1099999999999999,9.959999999999999,91.33333333333333,8.200000000000001
97,Halo: Reach,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,91.0,8.4
98,Mario Kart 64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,83.0,7.949999999999999
99,LEGO Marvel Super Heroes,Action,Warner Bros. Interactive Entertainment,4.41,4.14,0.08,1.23,9.86,81.0,7.783333333333334
100,New Super Mario Bros. 2,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,78.0,7.1
101,Zumba Fitness,Sports,505 Games,5.52,3.33,0.0,0.9400000000000001,9.79,,
102,Halo 4,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,87.0,7.1
103,Final Fantasy VII,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,8.1
104,Just Dance 2,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,74.0,7.2
105,FIFA Soccer 08,Sports,Electronic Arts,1.96,3.97,0.04,3.53,9.49,77.83333333333333,6.983333333333333
106,Gran Turismo 2,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,9.0
107,Watch Dogs,Action,Ubisoft,3.8,4.04,0.22,1.44,9.49,74.25,6.25
108,Assassin's Creed: Revelations,Action,Ubisoft,3.8000000000000003,3.9699999999999998,0.14,1.29,9.190000000000001,80.0,7.5
109,Animal Crossing: New Leaf,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,88.0,8.7
110,Madden NFL 06,Sports,Electronic Arts,7.68,0.46,0.02,0.86,9.03,78.0,6.957142857142857
111,Pac-Man,Puzzle,Atari,7.550000000000001,0.53,0.85,0.1,9.03,62.0,6.9
112,Mario Party DS,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,72.0,7.9
113,Just Dance 4,Misc,Ubisoft,5.52,2.67,0.0,0.7300000000000001,8.93,73.5,7.625
114,Medal of Honor: Frontline,Shooter,Electronic Arts,4.390000000000001,3.3,0.17,1.07,8.91,,
115,The Legend of Zelda: Twilight Princess,Action,Nintendo,4.98,2.55,0.64,0.74,8.9,95.5,8.95
116,Super Mario Kart,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,
117,Resident Evil 5,Action,Capcom,4.08,2.4099999999999997,1.2000000000000002,1.0,8.69,79.4,7.359999999999999
118,Far Cry 4,Shooter,Ubisoft,2.8400000000000003,4.45,0.19,1.18,8.68,82.33333333333333,7.779999999999999
119,FIFA Soccer 09,Sports,Electronic Arts,1.7,4.02,0.08,2.86,8.67,83.5,7.133333333333333
120,Medal of Honor,Shooter,Electronic Arts,4.47,3.18,0.11000000000000001,0.85,8.61,78.25,7.425000000000001
121,Halo 2,Shooter,Microsoft Game Studios,6.83,1.59,0.05,0.1,8.59,83.5,7.449999999999999
122,Need for Speed: ProStreet,Racing,Electronic Arts,3.35,2.56,0.1,2.61,8.58,70.0,6.8
123,LEGO Harry Potter: Years 1-4,Action,Warner Bros. Interactive Entertainment,4.01,3.5,0.0,1.01,8.530000000000001,76.5,7.516666666666667
124,LittleBigPlanet,Platform,Sony Computer Entertainment,3.44,3.29,0.18000000000000002,1.5899999999999999,8.5,91.0,7.35
125,Wii Party,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,68.0,7.9
126,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment,0.27999999999999997,3.38,1.3,3.5100000000000002,8.47,75.5,7.133333333333333
127,Donkey Kong Country Returns,Platform,Nintendo,3.98,2.46,1.4300000000000002,0.59,8.46,87.0,8.6
128,Tony Hawk's Pro Skater,Sports,Activision,6.0,2.16,0.03,0.28,8.459999999999999,92.0,8.7
129,Mario Party 8,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,62.0,6.6
130,Fallout: New Vegas,Role-Playing,Bethesda Softworks,4.75,2.5900000000000003,0.14,0.94,8.41,83.33333333333333,8.733333333333333
131,Mortal Kombat,Fighting,Warner Bros. Interactive Entertainment,6.04,1.69,0.0,0.6799999999999999,8.4,85.0,8.200000000000001
132,Spider-Man: The Movie,Action,Activision,5.5600000000000005,2.41,0.05,0.37,8.4,76.5,7.5
133,Pokemon Black 2/Pokemon White 2,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,,
134,Madden NFL 08,Sports,Electronic Arts,7.15,0.23,0.0,0.78,8.15,76.88888888888889,7.633333333333334
135,Kingdom Hearts,Role-Playing,Sony Computer Entertainment,4.54,1.5699999999999998,1.74,0.31,8.15,85.0,8.8
136,Mario & Sonic at the Olympic Winter Games,Sports,Sega,3.11,3.65,0.49,0.86,8.1,74.0,7.8
137,GoldenEye 007,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,80.33333333333333,6.95
138,Batman: Arkham Asylum,Action,Eidos Interactive,4.43,2.58,0.09000000000000001,0.97,8.07,91.33333333333333,8.733333333333334
139,Tony Hawk's Pro Skater 3,Sports,Activision,5.16,2.29,0.030000000000000002,0.5800000000000001,8.05,91.33333333333333,7.516666666666667
140,Final Fantasy X,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,8.9
141,NBA 2K16,Sports,Take-Two Interactive,5.64,1.1400000000000001,0.06,1.17,8.03,86.5,5.18
142,Assassin's Creed: Unity,Action,Ubisoft,3.6099999999999994,3.18,0.08,1.05,7.93,,
143,Final Fantasy VIII,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,8.8
144,Pokémon Platinum Version,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,,
145,The Elder Scrolls IV: Oblivion,Role-Playing,Take-Two Interactive,4.52,2.12,0.27,0.87,7.77,93.66666666666667,8.6
146,Monopoly,Misc,Hasbro Interactive,4.67,2.49,0.0,0.53,7.7,60.0,6.75
147,Super Mario Galaxy 2,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,97.0,9.1
148,Spider-Man 2,Action,Activision,4.74,2.14,0.05,0.6900000000000001,7.640000000000001,72.66666666666667,7.416666666666667
149,Harry Potter and the Chamber of Secrets,Action,Electronic Arts,3.66,3.18,0.11,0.68,7.64,75.60000000000001,7.866666666666667
150,Harry Potter and the Sorcerer's Stone,Action,Electronic Arts,3.44,3.47,0.32,0.42,7.64,61.666666666666664,7.016666666666667
151,Madden NFL 2005,Sports,Electronic Arts,6.85,0.53,0.01,0.21000000000000002,7.6000000000000005,84.0,7.171428571428572
152,Namco Museum,Misc,Namco Bandai Games,5.98,1.4200000000000002,0.05,0.15,7.6000000000000005,68.0,7.3
153,Resident Evil 4,Action,Capcom,4.4,1.8399999999999999,0.8200000000000001,0.53,7.6,89.33333333333333,8.933333333333334
154,Crash Bandicoot 2: Cortex Strikes Back,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,
155,Madden NFL 10,Sports,Electronic Arts,6.56,0.33999999999999997,0.0,0.67,7.57,82.33333333333333,7.0200000000000005
156,Call of Duty 3,Shooter,Activision,4.17,2.43,0.05,0.91,7.56,79.2,7.1
157,LEGO Star Wars III: The Clone Wars,Action,LucasArts,3.95,2.81,0.0,0.8200000000000001,7.56,71.28571428571429,7.214285714285714
158,Tomb Raider II,Action,Eidos Interactive,3.21,3.71,0.2,0.41000000000000003,7.53,,
159,Final Fantasy XIII,Role-Playing,Square Enix,3.01,1.92,1.8800000000000001,0.72,7.53,76.66666666666667,6.233333333333333
160,Far Cry 3,Shooter,Ubisoft,2.4699999999999998,3.72,0.12000000000000001,1.1400000000000001,7.470000000000001,89.66666666666667,8.533333333333333
161,Super Mario Bros. 2,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,
162,Madden NFL 16,Sports,Electronic Arts,5.78,0.54,0.0,1.1,7.42,83.5,4.925
163,WWE SmackDown vs Raw 2008,Fighting,THQ,3.4,1.8599999999999999,0.02,2.15,7.41,,
164,LEGO Star Wars II: The Original Trilogy,Action,LucasArts,5.08,1.55,0.01,0.6900000000000001,7.35,83.5,8.3
165,Rock Band,Misc,Electronic Arts,4.98,1.37,0.0,0.98,7.32,86.5,7.35
166,Guitar Hero II,Misc,RedOctane,5.82,0.65,0.0,0.8500000000000001,7.32,92.0,8.25
167,The Legend of Zelda: A Link to the Past,Action,Nintendo,4.17,1.4300000000000002,1.48,0.23,7.3100000000000005,95.0,8.85
168,Street Fighter IV,Fighting,Capcom,3.91,1.81,0.73,0.81,7.2700000000000005,92.66666666666667,7.5
169,Just Dance,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,49.0,7.8
170,LEGO Star Wars: The Video Game,Action,Eidos Interactive,4.72,2.01,0.01,0.52,7.26,,
171,Crash Bandicoot: The Wrath of Cortex,Platform,Universal Interactive,3.1199999999999997,2.98,0.24,0.9099999999999999,7.24,66.0,7.2
172,Battlefield: Bad Company 2,Shooter,Electronic Arts,3.61,2.67,0.12000000000000001,0.77,7.16,87.66666666666667,8.433333333333332
173,Tekken 3,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,9.1
174,Madden NFL 2004,Sports,Electronic Arts,5.8999999999999995,0.46,0.01,0.7799999999999999,7.140000000000001,88.2,7.449999999999999
175,Madden NFL 09,Sports,Electronic Arts,6.07,0.31,0.0,0.75,7.14,75.75,6.2
176,Crash Bandicoot 3: Warped,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,9.0
177,The Simpsons Game,Action,Electronic Arts,2.53,2.6100000000000003,0.0,1.9799999999999998,7.12,67.0,7.2
178,Borderlands 2,Shooter,Take-Two Interactive,3.79,2.3,0.15000000000000002,0.8999999999999999,7.109999999999999,83.25,8.08
179,Super Smash Bros. Melee,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,9.1
180,NBA 2K15,Sports,Take-Two Interactive,5.01,1.1300000000000001,0.03,0.89,7.06,84.0,4.9799999999999995
181,Final Fantasy III,Role-Playing,SquareSoft,1.77,0.05,5.12,0.12,7.05,72.5,7.833333333333333
182,Sonic the Hedgehog,Platform,Sega,3.88,1.95,0.3,0.9,7.05,44.5,6.65
183,The Simpsons: Hit & Run,Racing,Vivendi Games,3.2,2.9699999999999998,0.0,0.89,7.04,80.0,8.5
184,Super Mario World 2: Yoshi's Island,Platform,Nintendo,3.4,1.06,2.38,0.18,7.03,,
185,Madden NFL 15,Sports,Electronic Arts,5.66,0.58,0.0,0.73,6.97,80.5,5.125
186,Mario Kart 8,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,88.0,8.8
187,Mario Kart: Double Dash!!,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,87.0,8.6
188,Assassin's Creed: Brotherhood,Action,Ubisoft,4.86,1.3,0.14,0.64,6.93,89.0,8.233333333333334
189,Need For Speed: Undercover,Racing,Electronic Arts,2.48,2.55,0.12,1.79,6.92,,
190,FIFA 17,Sports,Electronic Arts,0.5,5.48,0.06999999999999999,0.85,6.909999999999999,84.33333333333333,4.22
191,PES 2009: Pro Evolution Soccer,Sports,Konami Digital Entertainment,0.5,2.7600000000000002,1.0,2.6199999999999997,6.86,,
192,Cars,Racing,THQ,5.31,0.97,0.0,0.6,6.859999999999999,65.5,7.275
193,Uncharted 3: Drake's Deception,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,92.0,8.4
194,Crash Bandicoot,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,
